Name,PX,PY,Latitude,Longitude,Elevation
Thatcher Fountain,1149,1971,39.744825,-104.956856,1610
31st and Gilpin,486,677,39.760815,-104.967139,1591
29th and Gilpin,478,876,39.758338,-104.967319,1593
26th and Williams,555,1179,39.754582,-104.966093,1601
21st and Franklin,398,1696,39.748303,-104.968554,1611
Franklin and Cheeseman Park,446,2755,39.735558,-104.966826,1627
Ash and 14th,2312,2479,39.738357,-104.938495,1620
17th and Albion,2267,2029,39.743835,-104.939048,1612
12th and Dahlia,2755,2774,39.734623,-104.931468,1621
17th and Dahlia,2707,2065,39.743316,-104.93198,1618
Montview and Dahlia,2711,1721,39.747551,-104.931827,1622
35th and Dahlia,2666,267,39.765745,-104.931969,1611
Cherry St and MLK,2530,460,39.763299,-104.934332,1617
35th and Bellaire St,2358,266,39.765766,-104.937016,1611
35th and Cook,1720,277,39.765634,-104.947385,1610
36th and Fillmore,1336,186,39.766877,-104.953546,1596
Franklin and Bruce Randolph,412,373,39.76459,-104.968323,1588
Marion and Bruce Randolph,168,373,39.764576,-104.972189,1588
26th and York,965,1177,39.754557,-104.959658,1597
Park Fountain,1587,1836,39.746374,-104.949871,1605
Haddon and Co,2144,1121,39.755065,-104.940779,1616
MLK and Clayton,1250,579,39.761925,-104.954986,1602
Cheeseman and Franklin,488,2715,39.736119,-104.967166,1626
13th and Downing,112,2663,39.736816,-104.97296,1622
13th and Race,735,2642,39.736901,-104.963378,1625
East High Fountain,1151,2333,39.740442,-104.956866,1621
South-East City Park,2151,2015,39.744026,-104.940951,1611
St Paul and Colfax,1499,2337,39.740293,-104.951399,1617
12th and Filmore,1420,2749,39.735421,-104.952745,1638
St Paul and 12th,1561,2755,39.735042,-104.950519,1627
12th and Madison,1841,2751,39.735217,-104.946085,1622
12th and Jackson,2035,2760,39.735013,-104.942991,1618
Hale and Ash,2319,2816,39.734275,-104.938485,1618
Hale and Clermont,2529,2857,39.733675,-104.935144,1625
29th and Dahlia,2690,850,39.758382,-104.931817,1617
MLK and Dahlia,2687,553,39.762133,-104.931743,1614
MLK and RA,2009,582,39.761804,-104.942784,1614
30th and Wilson,1771,801,39.759102,-104.946688,1611
30th and RA,1992,791,39.759197,-104.943124,1610
29th and Monroe,1854,898,39.757877,-104.945385,1612
Colorado and 23rd,2168,1430,39.751242,-104.940487,1615
Denver Zoo,1647,1449,39.751129,-104.948711,1613
York and 23rd,964,1483,39.750803,-104.959638,1602
23rd and Vine,810,1483,39.750821,-104.962106,1621
22nd and Vine,810,1585,39.749567,-104.962125,1606
21st and Vine,976,1712,39.748028,-104.96237,1608
18th and Vine,813,1984,39.744722,-104.962133,1618
18th and High,636,1987,39.744735,-104.964887,1612
21st and High,649,1706,39.748125,-104.964652,1610
20th and High,649,1796,39.747043,-104.964652,1612
23rd and High,636,1501,39.750621,-104.964853,1605
23rd and Humbolt,319,1505,39.75063,-104.969793,1605
24th and Lafayette,240,1386,39.752085,-104.971022,1601
16th and Franklin,400,1401,39.751881,-104.968556,1603
25th and Franklin,400,1283,39.753333,-104.968545,1601
Humbolt and 26th,333,1180,39.754595,-104.969591,1599
29th and Humbolt,320,977,39.757094,-104.969798,1594
28th and Gaylord,886,990,39.756887,-104.960887,1596
29th and Gaylord,870,873,39.758325,-104.96113,1604
29th and Race,715,889,39.758147,-104.963586,1594
